# Output data, time:
9.00002
-1	0
-0.95	-nan
-0.9	-nan
-0.85	-nan
-0.8	-nan
-0.75	-nan
-0.7	-nan
-0.65	-nan
-0.6	-nan
-0.55	-nan
-0.5	-nan
-0.45	-nan
-0.4	-nan
-0.35	-nan
-0.3	-nan
-0.25	-nan
-0.2	-nan
-0.15	-nan
-0.0999998	-nan
-0.0499998	-nan
1.56462e-07	-nan
0.0500002	-nan
0.1	-nan
0.15	-nan
0.2	-nan
0.25	-nan
0.3	-nan
0.35	-nan
0.4	-nan
0.45	-nan
0.5	-nan
0.55	-nan
0.6	-nan
0.65	-nan
0.7	-nan
0.75	-nan
0.8	-nan
0.85	-nan
0.9	-nan
0.95	-nan
1	-nan
1.05	-nan
1.1	-nan
1.15	-nan
1.2	-nan
1.25	-nan
1.3	-nan
1.35	-nan
1.4	-nan
1.45	-nan
1.5	-nan
1.55	-nan
1.6	-nan
1.65	-nan
1.7	-nan
1.75	-nan
1.8	-nan
1.85	-nan
1.9	-nan
1.95	-nan
2	-nan
2.05	-nan
2.1	-nan
2.15	-nan
2.2	-nan
2.25	-nan
2.3	-nan
2.35	-nan
2.4	-nan
2.45	-nan
2.5	-nan
2.55	-nan
2.6	-nan
2.65	-nan
2.7	-nan
2.75	-nan
2.8	-nan
2.85	-nan
2.9	-nan
2.95	-nan
3	-nan
3.05	-nan
3.1	-nan
3.15	-nan
3.2	-nan
3.25	-nan
3.3	-nan
3.35	-nan
3.4	-nan
3.45	-nan
3.5	-nan
3.55	-nan
3.6	-nan
3.65	-nan
3.7	-nan
3.75	-nan
3.8	-nan
3.85	-nan
3.9	-nan
3.95	-nan
4	-nan
4.05	-nan
4.1	-nan
4.15	-nan
4.2	-nan
4.25	-nan
4.3	-nan
4.35	-nan
4.4	-nan
4.45	-nan
4.5	-nan
4.55	-nan
4.6	-nan
4.65	-nan
4.7	-nan
4.75	-nan
4.8	-nan
4.85	-nan
4.9	-nan
4.95	-nan
5	-nan
5.05	-nan
5.1	-nan
5.15	-nan
5.2	-nan
5.25	-nan
5.3	-nan
5.35	-nan
5.4	-nan
5.45	-nan
5.5	-nan
5.55	-nan
5.6	-nan
5.65	-nan
5.7	-nan
5.75	-nan
5.8	-nan
5.85	-nan
5.9	-nan
5.95	-nan
6	-nan
6.05	-nan
6.10001	-nan
6.15001	-nan
6.20001	-nan
6.25001	-nan
6.30001	-nan
6.35001	-nan
6.40001	-nan
6.45001	-nan
6.50001	-nan
6.55001	-nan
6.60001	-nan
6.65001	-nan
6.70001	-nan
6.75001	-nan
6.80001	-nan
6.85001	-nan
6.90001	-nan
6.95001	-nan
7.00001	-nan
7.05001	-nan
7.10001	-nan
7.15001	-nan
7.20001	-nan
7.25001	-nan
7.30001	-nan
7.35001	-nan
7.40001	-nan
7.45001	-nan
7.50001	-nan
7.55001	-nan
7.60001	-nan
7.65001	-nan
7.70001	-nan
7.75001	-nan
7.80001	-nan
7.85001	-nan
7.90001	-nan
7.95001	-nan
8.00001	-nan
8.05001	-nan
8.10001	-nan
8.15001	-nan
8.20001	-nan
8.25001	-nan
8.30001	-nan
8.35001	-nan
8.40001	-nan
8.45001	-nan
8.50001	-nan
8.55001	-nan
8.60001	-nan
8.65001	-nan
8.70002	-nan
8.75002	-nan
8.80002	-nan
8.85002	-nan
8.90002	-nan
8.95002	-nan
9.00002	-nan
9.05002	-nan
9.10002	-nan
9.15002	-nan
9.20002	-nan
9.25002	-nan
9.30002	-nan
9.35002	-nan
9.40002	-nan
9.45002	-nan
9.50002	-nan
9.55002	-nan
9.60002	-nan
9.65002	-nan
9.70002	-nan
9.75002	-nan
9.80002	-nan
9.85002	-nan
9.90002	-nan
9.95002	1
